Country,State,% of Population
Australia,New South Wales,73.5
Australia,Victoria,77.59
Australia,Queensland,73.54
Australia,South Australia,68.79
Australia,Western Australia,65.49
Australia,Tasmania,76.49
Australia,Northern Territory,55
Australia,Australian Capital Territory,85
